"Type Etablissement","AA","AB","AC","AD","AE","AF","AG","AH","AI","AJ","AK","AL","AM","AN","AO","AP","AQ","AR","AS","AU","AV","AX","AZ"
"CH1",4,5,1,12,2,1,24,0,0,0,0,0,0,0,2,2,0,0,0,0,2,81,0
"CH1",12,26,22,168,48,5,61,3,0,0,0,0,15,4,71,15,0,10,0,1,21,136,0
"CH1",58,87,41,143,132,22,134,10,1,4,1,0,19,4,42,47,3,3,0,1,95,207,0
"CH1",16,25,7,101,25,5,26,0,2,0,0,0,11,0,28,13,0,4,0,0,70,1601,0
"CH1",52,28,23,41,58,2,43,3,0,0,0,0,7,0,9,16,0,1,0,0,39,91,0
"CH1",33,70,20,72,34,17,38,2,6,3,0,0,8,0,11,4,0,5,0,2,109,43,0
"CH1",110,80,52,109,112,16,133,19,11,3,2,0,27,0,29,44,0,26,2,0,145,197,0
"CH1",606,876,135,308,360,39,323,48,5,41,126,0,38,1,74,188,2,31,0,2,167,373,0
"CH1",50,64,34,108,97,8,101,17,1,0,0,0,22,6,35,18,0,7,0,0,44,128,0
"CH1",0,0,13,16,15,20,2,0,17,0,3,0,0,0,271,0,0,0,0,0,1,2,0
"CH1",1000,585,168,244,400,85,281,166,395,58,361,237,62,339,91,287,3,30,5,0,90,550,0
"CH1",79,164,36,226,294,14,230,20,4,7,675,502,51,2,66,41,2,24,0,0,113,592,0
"CH1",367,499,75,108,111,50,111,60,1,47,122,3,20,0,53,59,0,10,0,0,47,158,0
"CH1",307,37,46,173,182,6,99,14,2,3,1,0,23,0,62,21,2,19,0,0,85,257,0
"CH1",739,605,124,279,504,46,348,155,7,50,598,329,126,178,69,354,6,75,3,2,112,483,0
"CH1",13,28,26,164,25,18,55,3,1,0,0,0,24,0,20,19,0,6,0,1,43,91,0
"CH1",18,31,19,94,31,19,37,3,0,0,0,0,3,0,23,11,0,9,1,0,163,84,0
"CH1",74,40,48,76,144,14,111,14,0,0,0,0,28,0,18,20,0,9,0,0,83,201,1
"CH1",167,110,73,238,285,34,288,52,2,109,1008,674,68,0,112,54,0,34,0,0,368,332,0
"CH1",4,0,5,10,450,6,25,4,0,0,0,0,6,0,2,0,0,6,0,0,3,64,22
"CH1",276,215,69,196,377,19,166,33,4,8,3,3,38,0,84,65,0,21,0,0,104,304,0
"CH1",205,93,45,116,294,21,195,27,10,6,1,0,33,0,47,139,2,12,0,0,93,338,1
"CH1",637,446,219,184,377,28,261,194,9,51,3,1,39,17,64,264,2,39,0,1,118,532,0
"CH1",526,521,158,213,483,33,356,104,1,70,39,0,49,6,93,199,4,35,0,1,127,468,0
"CH1",10,36,2,47,27,4,36,1,0,2,0,0,3,0,10,12,0,1,0,0,24,83,0
"CH1",181,171,130,292,558,29,273,35,5,102,602,329,43,115,102,90,4,49,10,1,205,620,0
"CH1",712,171,156,320,52,1,449,250,12,4,0,834,36,13,307,112,10,220,0,0,144,682,0
"CH1",38,44,19,141,68,10,62,4,0,1,0,0,27,24,20,10,0,7,0,0,299,469,0
"CH1",43,30,15,89,114,18,92,5,0,1,0,0,19,0,32,7,1,7,0,0,29,83,0
"CH1",44,38,14,87,99,1,122,1,0,0,0,0,32,0,45,13,0,15,0,0,72,158,0
"CH1",285,387,49,108,220,18,123,67,5,6,25,0,43,36,35,145,1,21,1,1,157,284,0
"CH1",340,301,89,92,154,37,113,41,4,43,266,154,19,129,43,64,1,17,0,0,98,311,0
"CH1",762,562,142,266,141,19,283,114,13,66,806,501,41,0,221,358,5,13,0,0,198,559,0
"CH1",881,415,116,168,208,63,161,152,6,82,147,1,63,30,90,336,10,31,1,0,232,875,0
"CH1",84,99,39,93,171,18,128,15,7,1,1,0,26,0,62,51,1,18,0,0,198,170,0
"CH1",1316,556,225,252,604,52,334,61,95,25,4,0,64,17,100,218,2,26,0,0,269,686,0
"CH1",74,55,83,40,57,4,112,9,0,3,0,0,20,0,35,13,0,3,0,0,40,176,0
"CH1",13,29,10,330,20,7,197,5,0,1,0,0,3,0,24,33,0,9,0,0,23,88,0
"CH1",46,36,24,75,78,9,71,5,1,3,0,0,33,0,21,10,1,3,0,0,42,58,0
"CH1",29,37,12,104,50,5,50,6,1,1,0,0,14,0,37,21,0,7,0,0,42,74,0
"CH1",202,93,43,100,309,17,161,10,4,3,52,0,49,13,70,49,0,24,3,0,54,181,3
"CH1",284,212,87,145,326,12,325,42,3,2,0,0,54,29,59,72,1,35,0,1,137,379,0
"CH1",235,141,83,191,325,21,178,35,5,10,41,0,143,326,87,67,2,14,0,0,167,388,0
"CH1",162,120,68,231,218,42,172,27,2,4,0,0,65,362,87,43,0,12,0,0,91,238,0
"CH1",780,565,142,194,458,36,231,129,8,67,542,338,38,10,83,296,2,63,1,2,118,523,0
"CH1",368,137,175,313,459,37,391,58,4,7,554,404,55,1151,115,82,4,50,0,0,101,811,8
"CH1",704,437,157,123,208,68,193,154,489,5,2,0,117,385,126,222,2,24,2,0,108,542,0
"CH1",0,921,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,335,0
"CH1",390,87,58,107,139,12,232,22,2,4,1,0,34,31,35,36,0,16,0,0,73,296,0
"CH1",421,727,61,163,317,21,207,64,9,1,2,0,25,0,49,219,6,18,0,0,99,332,0
"CH1",34,64,29,120,62,20,61,4,12,5,0,0,30,0,9,20,0,8,0,0,99,98,0
"CH1",11,29,13,41,35,4,62,1,1,3,0,0,17,0,19,6,0,2,0,0,43,57,0
"CH1",115,60,46,118,115,19,147,3,1,5,0,0,51,78,63,37,2,17,0,0,80,351,0
"CH1",22,42,11,50,30,4,37,5,0,7,0,0,8,0,15,11,0,7,0,0,20,36,0
"CH1",24,29,15,44,52,5,22,14,0,0,0,0,8,0,10,20,0,4,0,0,28,89,0
"CH1",733,1056,186,226,380,96,276,276,40,19,0,0,51,4,53,186,7,28,0,0,107,201,0
"CH1",16,27,11,103,28,2,36,1,0,1,0,0,9,0,12,9,0,19,0,0,284,72,0
"CH1",7,2,8,2,3,0,7,3,0,0,2,466,1,1,3,0,0,4,0,0,0,14,0
"CH1",122,56,69,151,277,39,192,32,2,4,0,0,23,167,47,42,0,16,0,0,134,442,0
"CH1",71,110,32,265,71,21,98,2,2,3,0,0,102,0,54,37,0,10,0,0,51,83,0
"CH1",720,161,132,271,276,26,261,38,5,57,984,534,60,88,125,94,2,26,0,0,145,438,0
"CH1",666,540,155,411,461,31,301,186,5,72,527,311,68,29,64,110,1,27,0,6,82,471,6
"CH1",108,63,43,155,393,15,218,17,199,6,0,0,75,0,42,53,3,9,0,0,77,486,0
"CH1",950,288,112,215,740,74,295,37,26,66,64,0,94,1,143,170,1,31,0,0,153,493,0
"CH1",116,71,41,77,113,7,123,12,3,2,0,0,22,0,40,23,0,9,0,0,52,131,0
"CH1",103,75,42,152,279,11,147,27,1,4,0,0,42,0,26,35,0,16,0,0,198,154,0
"CH1",272,91,80,348,393,27,327,34,2,2,1,0,61,9,66,101,3,48,0,0,254,483,0
"CH1",3,1,1,5,2,0,6,0,0,0,0,0,1,0,0,2,0,1,0,0,13,55,0
"CH1",515,588,167,333,1056,57,482,139,13,25,2,0,57,0,53,207,4,46,0,0,310,786,11
"CH1",11,30,6,108,17,9,26,0,0,3,1,0,23,0,33,25,1,6,0,1,59,82,0
"CH1",54,30,16,67,58,6,47,8,0,1,0,0,15,0,16,21,0,4,0,0,50,85,0
"CH1",436,111,106,461,645,37,470,85,8,46,696,411,111,542,87,66,3,73,1,0,198,705,12
"CH1",486,745,188,295,313,44,274,72,4,19,51,0,43,0,68,449,6,14,0,1,109,493,0
"CH1",13,85,13,245,18,2,21,1,1,3,0,0,26,0,63,5,0,3,0,0,1637,15,0
"CH1",13,17,6,125,36,4,41,6,2,2,0,0,19,0,23,8,0,4,0,0,230,703,0
"CH1",3,4,7,17,4,4,15,1,1,0,0,0,1,0,12,6,0,0,0,0,7,57,0
"CH1",112,109,80,142,184,21,151,35,2,5,0,0,20,1,28,89,1,17,0,0,130,200,0
"CH1",24,26,5,28,20,4,45,1,0,0,0,0,1,1,10,12,1,4,0,0,24,62,0
